Step,Pre-Action,Action,Success,Coverage,Transport Rate,Finished
0,"['navigate to object ReservoirTaj', 'navigate to object ReservoirLibre', 'explore']","['NavigateTo(ReservoirTaj)', 'NavigateTo(ReservoirLibre)', 'Explore()']","[True, True, True]",0.2857142857142857,0.1111111111111111,False
1,"['get supply ReservoirTaj', 'get supply ReservoirLibre', 'explore']","['GetSupply(ReservoirTaj)', 'GetSupply(ReservoirLibre)', 'Explore()']","[True, True, True]",0.2857142857142857,0.2222222222222222,False
2,"['navigate to object EmberFire_Region_1', 'navigate to object AgniFire_Region_1', 'explore']","['NavigateTo(EmberFire_Region_1)', 'NavigateTo(AgniFire_Region_1)', 'Explore()']","[True, True, True]",0.5714285714285714,0.3333333333333333,False
3,"['Use supply Sand on EmberFire_Region_1', 'Use supply Water on AgniFire_Region_1', 'Explore']","['UseSupply(EmberFire, Sand)', 'UseSupply(AgniFire, Water)', 'Explore()']","[True, True, True]",0.5714285714285714,0.5555555555555556,False
4,"['get supply ReservoirLibre', 'get supply ReservoirLibre', 'explore']","['GetSupply(ReservoirLibre)', 'GetSupply(ReservoirLibre)', 'Explore()']","[False, False, True]",0.5714285714285714,0.5555555555555556,False
5,"['navigate to object ReservoirLibre', 'navigate to object ReservoirLibre', 'explore']","['NavigateTo(ReservoirLibre)', 'NavigateTo(ReservoirLibre)', 'Explore()']","[True, True, True]",0.5714285714285714,0.5555555555555556,False
6,"['get supply ReservoirLibre', 'get supply ReservoirLibre', 'explore']","['GetSupply(ReservoirLibre)', 'GetSupply(ReservoirLibre)', 'Explore()']","[True, True, True]",0.5714285714285714,0.5555555555555556,False
7,"['navigate to object DowntownFire_Region_1', 'navigate to object DowntownFire_Region_1', 'explore']","['NavigateTo(DowntownFire_Region_1)', 'NavigateTo(DowntownFire_Region_1)', 'Explore()']","[True, True, True]",0.7142857142857143,0.6111111111111112,False
8,"['Use supply Water on DowntownFire_Region_1', 'Use supply Water on DowntownFire_Region_1', 'Explore']","['UseSupply(DowntownFire, Water)', 'UseSupply(DowntownFire, Water)', 'Explore()']","[True, True, True]",0.7142857142857143,0.7222222222222222,False
9,"['Explore', 'Explore', 'Explore']","['Explore()', 'Explore()', 'Explore()']","[True, True, True]",0.7142857142857143,0.7777777777777778,False
10,"['navigate to object LostPersonThomas', 'navigate to object DepositFacility', 'navigate to object LostPersonThomas']","['NavigateTo(LostPersonThomas)', 'NavigateTo(DepositFacility)', 'NavigateTo(LostPersonThomas)']","[True, True, True]",1.0,0.8888888888888888,False
11,"['carry LostPersonThomas', 'Idle', 'carry LostPersonThomas']","['Carry(LostPersonThomas)', 'Idle', 'Carry(LostPersonThomas)']","[True, True, True]",1.0,0.9444444444444444,False
12,"['navigate to object DepositFacility', 'navigate to object LostPersonThomas', 'navigate to object DepositFacility']","['NavigateTo(DepositFacility)', 'NavigateTo(LostPersonThomas)', 'NavigateTo(DepositFacility)']","[True, True, True]",1.0,0.9444444444444444,False
13,"['dropoff LostPersonThomas at DepositFacility', 'navigate to object AgniFire', 'dropoff LostPersonThomas at DepositFacility']","['DropOff(DepositFacility, LostPersonThomas)', 'NavigateTo(AgniFire_Region_1)', 'DropOff(DepositFacility, LostPersonThomas)']","[True, False, True]",1.0,1.0,True
14,"['Navigate to object EmberFire', 'Navigate to object AgniFire', 'Navigate to object DowntownFire']","['NavigateTo(EmberFire_Region_1)', 'NavigateTo(AgniFire_Region_1)', 'NavigateTo(DowntownFire_Region_1)']","[False, False, False]",1.0,1.0,True
15,"['Done', 'Done', 'Done']","['Done', 'Done', 'Done']","[True, True, True]",1.0,1.0,True
