Step,Pre-Action,Action,Success,Coverage,Transport Rate,Finished
0,"['navigate to object ReservoirUtah', 'explore', 'navigate to object ReservoirUtah', 'navigate to object ReservoirYork', 'navigate to object ReservoirYork']","['NavigateTo(ReservoirUtah)', 'Explore()', 'NavigateTo(ReservoirUtah)', 'NavigateTo(ReservoirYork)', 'NavigateTo(ReservoirYork)']","[True, True, True, True, True]",0.3333333333333333,0.2,False
1,"['get supply ReservoirUtah', 'navigate to object ReservoirYork', 'get supply ReservoirUtah', 'carry LostPersonTimmy', 'carry LostPersonTimmy']","['GetSupply(ReservoirUtah)', 'NavigateTo(ReservoirYork)', 'GetSupply(ReservoirUtah)', 'Carry(LostPersonTimmy)', 'Carry(LostPersonTimmy)']","[True, True, True, False, False]",0.5,0.26666666666666666,False
2,"['navigate to object CaldorFire_Region_1', 'get supply ReservoirYork', 'navigate to object CaldorFire_Region_2', 'navigate to object LostPersonTimmy', 'navigate to object LostPersonTimmy']","['NavigateTo(CaldorFire_Region_1)', 'GetSupply(ReservoirYork)', 'NavigateTo(CaldorFire_Region_2)', 'NavigateTo(LostPersonTimmy)', 'NavigateTo(LostPersonTimmy)']","[True, True, True, True, True]",0.6666666666666666,0.4666666666666667,False
3,"['use supply Sand on CaldorFire_Region_1', 'navigate to object GreatFire_Region_1', 'use supply Sand on CaldorFire_Region_2', 'carry LostPersonTimmy', 'carry LostPersonTimmy']","['UseSupply(CaldorFire, Sand)', 'NavigateTo(GreatFire_Region_1)', 'UseSupply(CaldorFire, Sand)', 'Carry(LostPersonTimmy)', 'Carry(LostPersonTimmy)']","[True, True, True, True, True]",0.8333333333333334,0.7333333333333333,False
4,"['navigate to object GreatFire_Region_1', 'use supply Water on GreatFire_Region_1', 'get supply ReservoirYork', 'navigate to object DepositFacility', 'navigate to object DepositFacility']","['NavigateTo(GreatFire_Region_1)', 'UseSupply(GreatFire, Water)', 'GetSupply(ReservoirYork)', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)']","[True, True, False, True, True]",1.0,0.9333333333333333,False
5,"['navigate to object LostPersonTimmy', 'navigate to object LostPersonTimmy', 'navigate to object ReservoirYork', 'navigate to object DepositFacility', 'navigate to object DepositFacility']","['NavigateTo(LostPersonTimmy)', 'NavigateTo(LostPersonTimmy)', 'NavigateTo(ReservoirYork)', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)']","[True, True, True, True, True]",1.0,0.9333333333333333,False
6,"['navigate to object DepositFacility', 'navigate to object DepositFacility', 'navigate to object DepositFacility', 'navigate to object DepositFacility', 'navigate to object DepositFacility']","['NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)']","[True, True, True, True, True]",1.0,0.9333333333333333,False
7,"['Idle', 'Idle', 'Idle', 'Navigate to object DepositFacility', 'Navigate to object DepositFacility']","['Idle', 'Idle', 'Idle', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)']","[True, True, True, True, True]",1.0,0.9333333333333333,False
8,"['Idle', 'Idle', 'Idle', 'DropOff LostPersonTimmy at DepositFacility', 'DropOff LostPersonTimmy at DepositFacility']","['Idle', 'Idle', 'Idle', 'DropOff(DepositFacility, LostPersonTimmy)', 'DropOff(DepositFacility, LostPersonTimmy)']","[True, True, True, True, True]",1.0,1.0,True
9,"['explore', 'explore', 'navigate to object ReservoirYork', 'explore', 'explore']","['Explore()', 'Explore()', 'NavigateTo(ReservoirYork)', 'Explore()', 'Explore()']","[True, False, True, True, True]",1.0,1.0,True
10,"['explore', 'move Up', 'get supply Water', 'explore', 'explore']","['Explore()', 'Move(Up)', 'UseSupply(CaldorFire, Water)', 'Explore()', 'Explore()']","[True, True, False, True, True]",1.0,1.0,True
11,"['explore', 'explore', 'explore', 'explore', 'explore']","['Explore()', 'Explore()', 'Explore()', 'Explore()', 'Explore()']","[True, True, True, True, True]",1.0,1.0,True
12,"['navigate to object DepositFacility', 'navigate to object DepositFacility', 'Done', 'Done', 'Done']","['NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'Done', 'Done', 'Done']","[True, True, True, True, True]",1.0,1.0,True
13,"['Done', 'Done', 'Done', 'Done', 'Done']","['Done', 'Done', 'Done', 'Done', 'Done']","[True, True, True, True, True]",1.0,1.0,True
