Step,Pre-Action,Action,Success,Coverage,Transport Rate,Finished
0,"['navigate to object ReservoirTaj', 'explore', 'explore', 'navigate to object ReservoirLibre', 'navigate to object ReservoirLibre']","['NavigateTo(ReservoirTaj)', 'Explore()', 'Explore()', 'NavigateTo(ReservoirLibre)', 'NavigateTo(ReservoirLibre)']","[True, True, True, True, True]",0.2857142857142857,0.1111111111111111,False
1,"['get supply ReservoirTaj', 'explore', 'explore', 'get supply ReservoirLibre', 'explore']","['GetSupply(ReservoirTaj)', 'Explore()', 'Explore()', 'GetSupply(ReservoirLibre)', 'Explore()']","[True, True, True, True, True]",0.2857142857142857,0.2222222222222222,False
2,"['navigate to object EmberFire_Region_1', 'explore', 'get supply ReservoirTaj', 'navigate to object AgniFire_Region_1', 'get supply ReservoirLibre']","['NavigateTo(EmberFire_Region_1)', 'Explore()', 'GetSupply(ReservoirTaj)', 'NavigateTo(AgniFire_Region_1)', 'GetSupply(ReservoirLibre)']","[True, True, False, True, False]",0.5714285714285714,0.3333333333333333,False
3,"['use supply Sand on EmberFire_Region_1', 'explore', 'navigate to object ReservoirTaj', 'use supply Water on AgniFire_Region_1', 'navigate to object ReservoirLibre']","['UseSupply(EmberFire, Sand)', 'Explore()', 'NavigateTo(ReservoirTaj)', 'UseSupply(AgniFire, Water)', 'NavigateTo(ReservoirLibre)']","[True, True, True, True, True]",0.5714285714285714,0.5555555555555556,False
4,"['explore', 'explore', 'get supply Sand from ReservoirTaj', 'navigate to object DowntownFire_Region_1', 'get supply Water from ReservoirLibre']","['Explore()', 'Explore()', 'GetSupply(ReservoirTaj)', 'NavigateTo(DowntownFire_Region_1)', 'GetSupply(ReservoirLibre)']","[True, True, True, True, True]",0.7142857142857143,0.6666666666666666,False
5,"['navigate to object LostPersonThomas', 'navigate to object LostPersonThomas', 'navigate to object DowntownFire_Region_1', 'get supply ReservoirLibre', 'navigate to object DowntownFire_Region_1']","['NavigateTo(LostPersonThomas)', 'NavigateTo(LostPersonThomas)', 'NavigateTo(DowntownFire_Region_1)', 'GetSupply(ReservoirLibre)', 'NavigateTo(DowntownFire_Region_1)']","[True, True, True, False, True]",0.8571428571428571,0.7222222222222222,False
6,"['carry LostPersonThomas', 'carry LostPersonThomas', 'use supply Sand on DowntownFire_Region_1', 'navigate to ReservoirLibre', 'use supply Water on DowntownFire_Region_1']","['Carry(LostPersonThomas)', 'Carry(LostPersonThomas)', 'UseSupply(DowntownFire, Sand)', 'NavigateTo(ReservoirLibre)', 'UseSupply(DowntownFire, Water)']","[True, True, False, True, True]",0.8571428571428571,0.8888888888888888,False
7,"['navigate to object DepositFacility', 'navigate to object DepositFacility', 'navigate to object DepositFacility', 'get supply ReservoirLibre', 'navigate to object DepositFacility']","['NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'GetSupply(ReservoirLibre)', 'NavigateTo(DepositFacility)']","[True, True, True, True, True]",1.0,0.9444444444444444,False
8,"['navigate to object DepositFacility', 'navigate to object DepositFacility', 'Idle', 'navigate to object DepositFacility', 'navigate to object DepositFacility']","['NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'Idle', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)']","[True, True, True, True, True]",1.0,0.9444444444444444,False
9,"['carry LostPersonThomas', 'carry LostPersonThomas', 'carry LostPersonThomas', 'navigate to DepositFacility', 'clear inventory']","['Carry(LostPersonThomas)', 'Carry(LostPersonThomas)', 'Carry(LostPersonThomas)', 'NavigateTo(DepositFacility)', 'ClearInventory()']","[False, False, False, True, True]",1.0,0.9444444444444444,False
10,"['navigate to object DepositFacility', 'navigate to object DepositFacility', 'Idle', 'navigate to object DepositFacility', 'navigate to object DepositFacility']","['NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'Idle', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)']","[True, True, True, True, True]",1.0,0.9444444444444444,False
11,"['dropoff LostPersonThomas at DepositFacility', 'dropoff LostPersonThomas at DepositFacility', 'navigate to DepositFacility', 'store supply DepositFacility', 'navigate to DepositFacility']","['DropOff(DepositFacility, LostPersonThomas)', 'DropOff(DepositFacility, LostPersonThomas)', 'NavigateTo(DepositFacility)', 'StoreSupply(DepositFacility)', 'NavigateTo(DepositFacility)']","[True, True, True, True, True]",1.0,1.0,True
12,"['Done', 'Done', 'Done', 'Done', 'Done']","['Done', 'Done', 'Done', 'Done', 'Done']","[True, True, True, True, True]",1.0,1.0,True
