Step,Pre-Action,Action,Success,Coverage,Transport Rate,Finished
0,"['Navigate to ReservoirTaj', 'Navigate to ReservoirTaj', 'Navigate to ReservoirTaj', 'Navigate to ReservoirTaj']","['NavigateTo(ReservoirTaj)', 'NavigateTo(ReservoirTaj)', 'NavigateTo(ReservoirTaj)', 'NavigateTo(ReservoirTaj)']","[True, True, True, True]",0.25,0.1,False
1,"['get supply ReservoirTaj', 'get supply ReservoirTaj', 'get supply ReservoirTaj', 'explore']","['GetSupply(ReservoirTaj)', 'GetSupply(ReservoirTaj)', 'GetSupply(ReservoirTaj)', 'Explore()']","[True, True, True, True]",0.25,0.3,False
2,"['navigate to object RedFire_Region_1', 'navigate to object RedFire_Region_2', 'navigate to object RedFire_Region_3', 'navigate to object ReservoirTaj']","['NavigateTo(RedFire_Region_1)', 'NavigateTo(RedFire_Region_2)', 'NavigateTo(RedFire_Region_3)', 'NavigateTo(ReservoirTaj)']","[True, True, True, True]",0.5,0.4,False
3,"['use supply Sand on RedFire_Region_1', 'use supply Sand on RedFire_Region_2', 'use supply Sand on RedFire_Region_3', 'get supply ReservoirTaj']","['UseSupply(RedFire, Sand)', 'UseSupply(RedFire, Sand)', 'UseSupply(RedFire, Sand)', 'GetSupply(ReservoirTaj)']","[True, True, True, True]",0.5,0.6,False
4,"['carry LostPersonThomas', 'carry LostPersonThomas', 'navigate to object DepositFacility', 'clear inventory']","['Carry(LostPersonThomas)', 'Carry(LostPersonThomas)', 'NavigateTo(DepositFacility)', 'ClearInventory()']","[False, False, True, True]",1.0,0.7,False
5,"['navigate to object LostPersonThomas', 'navigate to object LostPersonThomas', 'Idle', 'navigate to object LostPersonThomas']","['NavigateTo(LostPersonThomas)', 'NavigateTo(LostPersonThomas)', 'Idle', 'NavigateTo(LostPersonThomas)']","[True, True, True, True]",1.0,0.8,False
6,"['carry LostPersonThomas', 'carry LostPersonThomas', 'navigate to object DepositFacility', 'navigate to object DepositFacility']","['Carry(LostPersonThomas)', 'Carry(LostPersonThomas)', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)']","[True, True, True, True]",1.0,0.9,False
7,"['navigate to object DepositFacility', 'navigate to object DepositFacility', 'Done', 'Done']","['NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'Done', 'Done']","[True, True, True, True]",1.0,0.9,False
8,"['navigate to object DepositFacility', 'navigate to object DepositFacility', 'Idle', 'Idle']","['NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'Idle', 'Idle']","[True, True, True, True]",1.0,0.9,False
9,"['dropoff LostPersonThomas at DepositFacility', 'dropoff LostPersonThomas at DepositFacility', 'clear inventory', 'clear inventory']","['DropOff(DepositFacility, LostPersonThomas)', 'DropOff(DepositFacility, LostPersonThomas)', 'ClearInventory()', 'ClearInventory()']","[True, True, True, True]",1.0,1.0,True
10,"['Done', 'Done', 'Done', 'Done']","['Done', 'Done', 'Done', 'Done']","[True, True, True, True]",1.0,1.0,True
