Step,Pre-Action,Action,Success,Coverage,Transport Rate,Finished
0,"['get supply ReservoirYork', 'explore', 'get supply ReservoirYork', 'get supply ReservoirYork']","['GetSupply(ReservoirYork)', 'Explore()', 'GetSupply(ReservoirYork)', 'GetSupply(ReservoirYork)']","[False, True, False, False]",0.2,0.0,False
1,"['navigate to object ReservoirYork', 'explore', 'navigate to object ReservoirYork', 'navigate to object ReservoirYork']","['NavigateTo(ReservoirYork)', 'Explore()', 'NavigateTo(ReservoirYork)', 'NavigateTo(ReservoirYork)']","[True, True, True, True]",0.2,0.07142857142857142,False
2,"['get supply ReservoirYork', 'explore', 'get supply ReservoirYork', 'get supply ReservoirYork']","['GetSupply(ReservoirYork)', 'Explore()', 'GetSupply(ReservoirYork)', 'GetSupply(ReservoirYork)']","[True, True, True, True]",0.2,0.14285714285714285,False
3,"['navigate to object SussexFire_Region_1', 'explore', 'navigate to object SussexFire_Region_1', 'navigate to object SussexFire_Region_1']","['NavigateTo(SussexFire_Region_1)', 'Explore()', 'NavigateTo(SussexFire_Region_1)', 'NavigateTo(SussexFire_Region_1)']","[True, True, True, True]",0.4,0.21428571428571427,False
4,"['use supply Water on SussexFire_Region_1', 'explore', 'use supply Water on SussexFire_Region_1', 'use supply Water on SussexFire_Region_1']","['UseSupply(SussexFire, Water)', 'Explore()', 'UseSupply(SussexFire, Water)', 'UseSupply(SussexFire, Water)']","[True, True, True, True]",0.4,0.35714285714285715,False
5,"['explore', 'explore', 'explore', 'explore']","['Explore()', 'Explore()', 'Explore()', 'Explore()']","[True, True, True, True]",0.4,0.42857142857142855,False
6,"['Navigate to LostPersonJacob', 'Explore', 'Navigate to LostPersonJacob', 'Navigate to DepositFacility']","['NavigateTo(LostPersonJacob)', 'Explore()', 'NavigateTo(LostPersonJacob)', 'NavigateTo(DepositFacility)']","[True, True, True, True]",0.8,0.6428571428571429,False
7,"['navigate to LostPersonJacob', 'explore', 'navigate to LostPersonJacob', 'idle']","['NavigateTo(LostPersonJacob)', 'Explore()', 'NavigateTo(LostPersonJacob)', 'Idle']","[True, True, True, True]",0.8,0.6428571428571429,False
8,"['carry LostPersonJacob', 'explore', 'carry LostPersonJacob', 'Idle']","['Carry(LostPersonJacob)', 'Explore()', 'Carry(LostPersonJacob)', 'Idle']","[True, True, True, True]",0.8,0.7142857142857143,False
9,"['navigate to object DepositFacility', 'explore', 'navigate to object DepositFacility', 'idle']","['NavigateTo(DepositFacility)', 'Explore()', 'NavigateTo(DepositFacility)', 'Idle']","[True, True, True, True]",0.8,0.7142857142857143,False
10,"['NavigateTo(DepositFacility)', 'Explore', 'NavigateTo(DepositFacility)', 'Idle']","['NavigateTo(DepositFacility)', 'Explore()', 'NavigateTo(DepositFacility)', 'Idle']","[True, True, True, True]",0.8,0.7142857142857143,False
11,"['Navigate to object DepositFacility', 'Explore', 'Navigate to object DepositFacility', 'Dropoff LostPersonJacob at DepositFacility']","['NavigateTo(DepositFacility)', 'Explore()', 'NavigateTo(DepositFacility)', 'DropOff(DepositFacility, LostPersonJacob)']","[True, True, True, False]",0.8,0.7142857142857143,False
12,"['navigate to object DepositFacility', 'explore', 'navigate to object DepositFacility', 'Idle']","['NavigateTo(DepositFacility)', 'Explore()', 'NavigateTo(DepositFacility)', 'Idle']","[True, True, True, True]",0.8,0.7142857142857143,False
13,"['navigate to object DepositFacility', 'explore', 'navigate to object DepositFacility', 'navigate to object DepositFacility']","['NavigateTo(DepositFacility)', 'Explore()', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)']","[True, True, True, True]",0.8,0.7142857142857143,False
14,"['navigate to object DepositFacility', 'explore', 'navigate to object DepositFacility', 'explore']","['NavigateTo(DepositFacility)', 'Explore()', 'NavigateTo(DepositFacility)', 'Explore()']","[True, True, True, False]",0.8,0.7142857142857143,False
15,"['dropoff LostPersonJacob at DepositFacility', 'explore', 'dropoff LostPersonJacob at DepositFacility', 'explore']","['DropOff(DepositFacility, LostPersonJacob)', 'Explore()', 'DropOff(DepositFacility, LostPersonJacob)', 'Explore()']","[True, True, True, True]",0.8,0.7857142857142857,False
16,"['navigate to object LostPersonZoe', 'navigate to object LostPersonZoe', 'navigate to object LostPersonZoe', 'explore']","['NavigateTo(LostPersonZoe)', 'NavigateTo(LostPersonZoe)', 'NavigateTo(LostPersonZoe)', 'Explore()']","[True, True, True, True]",1.0,0.8571428571428571,False
17,"['carry LostPersonZoe', 'carry LostPersonZoe', 'carry LostPersonZoe', 'navigate to object DepositFacility']","['Carry(LostPersonZoe)', 'Carry(LostPersonZoe)', 'Carry(LostPersonZoe)', 'NavigateTo(DepositFacility)']","[True, True, False, True]",1.0,0.9285714285714286,False
18,"['navigate to object DepositFacility', 'navigate to object DepositFacility', 'explore', 'navigate to object Charlie']","['NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'Explore()', 'NavigateTo(Charlie)']","[True, True, True, False]",1.0,0.9285714285714286,False
19,"['dropoff LostPersonZoe at DepositFacility', 'dropoff LostPersonZoe at DepositFacility', 'navigate to object DepositFacility', 'navigate to object DepositFacility']","['DropOff(DepositFacility, LostPersonZoe)', 'DropOff(DepositFacility, LostPersonZoe)', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)']","[True, True, True, True]",1.0,1.0,True
20,"['Done', 'Done', 'Done', 'Done']","['Done', 'Done', 'Done', 'Done']","[True, True, True, True]",1.0,1.0,True
