Step,Pre-Action,Action,Success,Coverage,Transport Rate,Finished
0,"['navigate to object ReservoirUtah', 'explore', 'navigate to object ReservoirYork', 'navigate to object ReservoirUtah']","['NavigateTo(ReservoirUtah)', 'Explore()', 'NavigateTo(ReservoirYork)', 'NavigateTo(ReservoirUtah)']","[True, True, True, True]",0.3333333333333333,0.2,False
1,"['get supply ReservoirUtah', 'get supply ReservoirUtah', 'get supply ReservoirYork', 'get supply ReservoirUtah']","['GetSupply(ReservoirUtah)', 'GetSupply(ReservoirUtah)', 'GetSupply(ReservoirYork)', 'GetSupply(ReservoirUtah)']","[True, False, True, True]",0.3333333333333333,0.3333333333333333,False
2,"['navigate to object CaldorFire_Region_1', 'navigate to object ReservoirUtah', 'navigate to object GreatFire_Region_1', 'navigate to object CaldorFire_Region_2']","['NavigateTo(CaldorFire_Region_1)', 'NavigateTo(ReservoirUtah)', 'NavigateTo(GreatFire_Region_1)', 'NavigateTo(CaldorFire_Region_2)']","[True, True, True, True]",0.6666666666666666,0.4666666666666667,False
3,"['use supply Sand on CaldorFire_Region_1', 'get supply ReservoirUtah', 'use supply Water on GreatFire_Region_1', 'use supply Sand on CaldorFire_Region_2']","['UseSupply(CaldorFire, Sand)', 'GetSupply(ReservoirUtah)', 'UseSupply(GreatFire, Water)', 'UseSupply(CaldorFire, Sand)']","[True, True, True, True]",0.6666666666666666,0.7333333333333333,False
4,"['carry LostPersonTimmy', 'navigate to object DepositFacility', 'explore', 'carry LostPersonTimmy']","['Carry(LostPersonTimmy)', 'NavigateTo(DepositFacility)', 'Explore()', 'Carry(LostPersonTimmy)']","[False, True, True, False]",1.0,0.8,False
5,"['navigate to object LostPersonTimmy', 'Idle', 'navigate to object DepositFacility', 'navigate to object LostPersonTimmy']","['NavigateTo(LostPersonTimmy)', 'Idle', 'NavigateTo(DepositFacility)', 'NavigateTo(LostPersonTimmy)']","[True, True, True, True]",1.0,0.8666666666666667,False
6,"['carry LostPersonTimmy', 'navigate to DepositFacility', 'Idle', 'carry LostPersonTimmy']","['Carry(LostPersonTimmy)', 'NavigateTo(DepositFacility)', 'Idle', 'Carry(LostPersonTimmy)']","[True, True, True, True]",1.0,0.9333333333333333,False
7,"['navigate to object DepositFacility', 'Idle', 'Idle', 'navigate to object DepositFacility']","['NavigateTo(DepositFacility)', 'Idle', 'Idle', 'NavigateTo(DepositFacility)']","[True, True, True, True]",1.0,0.9333333333333333,False
8,"['navigate to object DepositFacility', 'navigate to object DepositFacility', 'navigate to object DepositFacility', 'navigate to object DepositFacility']","['NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)']","[True, True, True, True]",1.0,0.9333333333333333,False
9,"['dropoff LostPersonTimmy at DepositFacility', 'Idle', 'Idle', 'dropoff LostPersonTimmy at DepositFacility']","['DropOff(DepositFacility, LostPersonTimmy)', 'Idle', 'Idle', 'DropOff(DepositFacility, LostPersonTimmy)']","[True, True, True, True]",1.0,1.0,True
10,"['Done', 'Done', 'Done', 'Done']","['Done', 'Done', 'Done', 'Done']","[True, True, True, True]",1.0,1.0,True
