Step,Pre-Action,Action,Success,Coverage,Transport Rate,Finished
0,"['navigate to object ReservoirTaj', 'navigate to object ReservoirLibre', 'navigate to object ReservoirLibre', 'explore', 'explore']","['NavigateTo(ReservoirTaj)', 'NavigateTo(ReservoirLibre)', 'NavigateTo(ReservoirLibre)', 'Explore()', 'Explore()']","[True, True, True, True, True]",0.2857142857142857,0.16666666666666666,False
1,"['get supply ReservoirTaj', 'get supply ReservoirLibre', 'get supply ReservoirLibre', 'explore', 'explore']","['GetSupply(ReservoirTaj)', 'GetSupply(ReservoirLibre)', 'GetSupply(ReservoirLibre)', 'Explore()', 'Explore()']","[True, True, True, True, True]",0.2857142857142857,0.2777777777777778,False
2,"['use supply Sand on EmberFire_Region_1', 'use supply Water on AgniFire_Region_1', 'use supply Water on DowntownFire_Region_1', 'navigate to object ReservoirLibre', 'navigate to object ReservoirTaj']","['UseSupply(EmberFire, Sand)', 'UseSupply(AgniFire, Water)', 'UseSupply(DowntownFire, Water)', 'NavigateTo(ReservoirLibre)', 'NavigateTo(ReservoirTaj)']","[False, False, False, True, True]",0.7142857142857143,0.2777777777777778,False
3,"['navigate to object EmberFire_Region_1', 'navigate to object AgniFire_Region_1', 'navigate to object DowntownFire_Region_1', 'get supply ReservoirLibre', 'get supply ReservoirTaj']","['NavigateTo(EmberFire_Region_1)', 'NavigateTo(AgniFire_Region_1)', 'NavigateTo(DowntownFire_Region_1)', 'GetSupply(ReservoirLibre)', 'GetSupply(ReservoirTaj)']","[True, True, True, True, True]",0.7142857142857143,0.4444444444444444,False
4,"['use supply Sand on EmberFire', 'use supply Water on AgniFire', 'use supply Water on DowntownFire', 'explore', 'navigate to object DepositFacility']","['UseSupply(EmberFire, Sand)', 'UseSupply(AgniFire, Water)', 'UseSupply(DowntownFire, Water)', 'Explore()', 'NavigateTo(DepositFacility)']","[True, True, True, True, True]",0.8571428571428571,0.8333333333333334,False
5,"['navigate to object LostPersonThomas', 'navigate to object LostPersonThomas', 'navigate to object LostPersonThomas', 'clear inventory', 'navigate to object DepositFacility']","['NavigateTo(LostPersonThomas)', 'NavigateTo(LostPersonThomas)', 'NavigateTo(LostPersonThomas)', 'ClearInventory()', 'NavigateTo(DepositFacility)']","[True, True, True, True, True]",1.0,0.8888888888888888,False
6,"['carry LostPersonThomas', 'carry LostPersonThomas', 'navigate to object DepositFacility', 'navigate to object LostPersonThomas', 'navigate to object LostPersonThomas']","['Carry(LostPersonThomas)', 'Carry(LostPersonThomas)', 'NavigateTo(DepositFacility)', 'NavigateTo(LostPersonThomas)', 'NavigateTo(LostPersonThomas)']","[True, True, True, True, True]",1.0,0.9444444444444444,False
7,"['navigate to object DepositFacility', 'navigate to object DepositFacility', 'idle', 'idle', 'idle']","['NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'Idle', 'Idle', 'Idle']","[True, True, True, True, True]",1.0,0.9444444444444444,False
8,"['navigate to DepositFacility', 'navigate to DepositFacility', 'Idle', 'Idle', 'Idle']","['NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'Idle', 'Idle', 'Idle']","[True, True, True, True, True]",1.0,0.9444444444444444,False
9,"['navigate to object DepositFacility', 'navigate to object DepositFacility', 'navigate to object DepositFacility', 'explore', 'explore']","['NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'Explore()', 'Explore()']","[True, True, True, True, True]",1.0,0.9444444444444444,False
10,"['navigate to object DepositFacility', 'navigate to object DepositFacility', 'navigate to object DepositFacility', 'clear inventory', 'clear inventory']","['NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'NavigateTo(DepositFacility)', 'ClearInventory()', 'ClearInventory()']","[True, True, True, True, True]",1.0,0.9444444444444444,False
11,"['dropoff LostPersonThomas at DepositFacility', 'dropoff LostPersonThomas at DepositFacility', 'Idle', 'Idle', 'Idle']","['DropOff(DepositFacility, LostPersonThomas)', 'DropOff(DepositFacility, LostPersonThomas)', 'Idle', 'Idle', 'Idle']","[True, True, True, True, True]",1.0,1.0,True
12,"['Done', 'Done', 'Done', 'Done', 'Done']","['Done', 'Done', 'Done', 'Done', 'Done']","[True, True, True, True, True]",1.0,1.0,True
