steps	balance	coverage	success rate	transport rate
8	0.6	1	1	1
5	0.6666666667	1	0	0.75
14	0.3333333333	1	1	1
24	0.3636363636	1	1	1
10	0.8	1	1	1
30	0.5769230769	0.75	0	0.4166666667
9	0.8	1	0	0.75
30	0.8235294118	1	0	0.6666666667
30	0.625	1	0	0.5833333333
12	0.7777777778	1	0	0.6666666667
30	0.6315789474	0.75	0	0.75
30	0.9411764706	1	1	1
30	0.6470588235	1	1	1
30	0.8333333333	1	0	0.875
30	0.3529411765	0.75	0	0.25
26	0.88	1	1	1
17	0.6666666667	1	1	1
23	0.7	1	1	1
10	0.75	1	1	1
29	0.8333333333	1	1	1
10	0.6666666667	1	1	1
15	0.8181818182	1	1	1
30	0.8333333333	1	1	1
12	0.9090909091	1	1	1
30	0.875	0.75	0	0.6666666667
30	0.7142857143	1	1	1
30	0.5714285714	1	0	0.8333333333
30	0.3461538462	1	0	0.8333333333
9	0.7142857143	1	1	1
30	0.2380952381	1	1	1
16	0.9166666667	1	1	1
8	0.7142857143	1	1	1
22	0.8	1	1	1
16	0.4615384615	1	1	1
30	0.8636363636	1	1	1
10	0.75	1	1	1
28	0.5	1	1	1
30	0.4	1	0	0.75
30	0.7142857143	1	1	1
30	0.6086956522	1	1	1
30	0.619047619	1	1	1
8	0.625	1	1	1
24	0.5263157895	1	1	1
11	0.5714285714	1	0	0.8571428571
12	0.7777777778	1	1	1
13	0.5833333333	1	1	1
30	0.5217391304	1	1	1
